count,ax,ay,az,gx,gy,gz
376,-468,-364,17936,-661,5997,243
377,-1916,-168,19016,-756,6162,-181
378,-1640,-160,18716,-789,5747,-71
379,-1656,-388,18964,-779,5482,51
380,-1724,-128,18328,-823,5394,56
381,-1932,-348,18352,-722,5229,-81
382,-2024,-172,18556,-628,5061,-46
383,-2144,-468,18480,-554,4913,-54
384,-2420,-452,18352,-656,4656,-221
385,-2680,-396,18556,-670,4516,-377
386,-2924,-252,18104,-647,4564,-638
387,-3220,-180,17916,-324,4256,-845
388,-3272,-532,18592,-415,3971,-1047
389,-3112,1168,15680,-845,2557,-874
390,-1764,564,20784,-1362,1318,-336
391,-3752,-464,17188,-731,1861,400
392,-3780,-432,18324,-375,651,-73
393,-3800,-524,18288,-780,96,-204
394,-3572,-256,18724,-776,-486,74
395,-3720,-140,19044,-1063,-1253,157
396,-3780,24,18492,-1144,-1889,-100
397,-3336,-100,18016,-826,-2454,-142
398,-3496,-588,18600,-720,-3114,-27
399,-3220,-492,18384,-866,-3905,-111
400,-3216,-256,18752,-956,-4445,-164
401,-3364,-72,18472,-949,-5141,-82
402,-3148,-320,18392,-935,-5830,-88
403,-2908,-432,18504,-966,-6447,-187
404,-2728,-508,18376,-1038,-7088,-142
405,-2592,-292,18384,-990,-7691,-55
406,-2176,-264,18832,-1018,-8203,-113
407,-1888,-248,18644,-1126,-8678,-132
408,-1476,-308,18460,-1083,-9156,-31
409,-1172,-612,18672,-1095,-9644,164
410,-756,-372,18520,-1126,-10107,396
411,-416,-404,18456,-1069,-10546,638
412,-444,-260,18528,-989,-10938,925
413,-216,-224,18556,-882,-11431,1083
414,7524,292,25052,-827,-10413,1118
415,-1776,-820,16024,-745,-9944,895
416,1228,-1580,19024,-894,-11000,334
417,1004,580,18244,-1562,-10800,244
418,1132,-92,18468,-1166,-10670,220
419,2008,-8,18352,-952,-10737,223
420,2016,-560,17828,-935,-10629,283
421,2212,-656,18320,-707,-9918,134
422,3152,-796,18716,-915,-9819,-57
423,3540,-576,17968,-978,-9110,-291
424,4552,-756,18152,-991,-8197,-481
425,5040,-224,17704,-1047,-7499,-784
426,5336,-436,18240,-810,-6326,-845
427,5308,-588,18340,-822,-5191,-723
428,5132,-4,18256,-1002,-3936,-386
429,5332,-420,18496,-800,-2553,-31
430,4800,-664,18164,-768,-1701,114
431,5216,-668,18196,-693,-670,282
432,4736,-444,18116,-719,233,449
433,4668,-320,18020,-742,952,559
434,4080,-1312,18568,-627,1570,596
435,3776,204,17704,-762,886,-222
436,4160,-888,18420,-906,1716,-219
437,2948,-436,18344,-979,2252,-158
438,4128,-428,18176,-754,2005,82
439,3608,-340,18816,-701,2239,-93
440,3212,-540,18152,-691,2538,-17
441,3608,-456,18508,-854,2536,20
442,3520,-472,18452,-870,2818,-16
443,3260,-492,18600,-772,3067,-83
444,3348,-484,18460,-766,3154,-95
445,3420,-340,18512,-790,3432,-70
446,3300,-268,18424,-793,3610,-66
447,3248,-260,18592,-766,3726,-93
448,2968,-372,18524,-679,3898,-97
449,3092,-476,18468,-697,4036,-127
450,2724,-504,18532,-747,4129,-164
451,2876,-408,18540,-783,4218,-237
452,2676,-376,18668,-739,4239,-303
453,2592,-308,18764,-740,4317,-444
454,2560,-532,19032,-808,4418,-550
455,2036,-428,18504,-867,4340,-651
456,2508,-316,18020,-997,4432,-596
457,1608,16,18452,-906,4799,-308
458,1792,-376,19004,-825,4695,-226
459,1568,-368,18424,-750,4864,7
460,1628,-428,18612,-703,4873,2
461,1396,-620,18596,-771,4834,-33
462,1232,-464,18692,-728,4796,-59
463,1340,-436,18416,-871,4696,-70
464,1316,-400,18668,-797,4680,-46
465,1088,-164,18996,-742,4587,-22
466,728,-348,18832,-688,4440,-106
